1;1;2025-02-01;12:00
2;2;2025-02-01;14:30
3;3;2025-02-01;16:00
4;4;2025-02-01;18:30
5;5;2025-02-01;20:00
6;6;2025-02-02;12:00
7;7;2025-02-02;14:30
8;8;2025-02-02;16:00
9;9;2025-02-02;18:30
10;10;2025-02-02;20:00
11;11;2025-02-03;12:00
12;12;2025-02-03;14:30
13;13;2025-02-03;16:00
14;14;2025-02-03;18:30
15;15;2025-02-03;20:00
16;16;2025-02-04;12:00
17;17;2025-02-04;14:30
18;18;2025-02-04;16:00
19;19;2025-02-04;18:30
20;20;2025-02-04;20:00
21;21;2025-02-05;12:00
22;22;2025-02-05;14:30
23;23;2025-02-05;16:00
24;24;2025-02-05;18:30
25;25;2025-02-05;20:00
26;26;2025-02-06;12:00
27;27;2025-02-06;14:30
28;28;2025-02-06;16:00
29;29;2025-02-06;18:30
30;30;2025-02-06;20:00
31;31;2025-02-07;12:00
32;32;2025-02-07;14:30
33;33;2025-02-07;16:00
34;34;2025-02-07;18:30
35;35;2025-02-07;20:00
